topicName,courseURI,courseName,occurrences,lectureNumbers,ResourceName
Deep Learning,file:///Users/jatin/workspace/roboprof/data#6272216589,COMP 6721,20,"Lecture 11, Lecture 9, Lecture 7, Lecture 8, Lecture 10","slides11, slides09, slides07, slides08, readings10"
Deep Learning,file:///Users/jatin/workspace/roboprof/data#1709075924,COMP 6741,3,"Lecture 1, Lecture 6","slides01, slides06"
