courseURI,courseName,courseSubject,courseNumber,topicName
file:///Users/jatin/workspace/roboprof/data#6272216589,APPLIED ARTIFICIAL INTELLIGENCE,COMP,6721,Deep Learning
file:///Users/jatin/workspace/roboprof/data#1709075924,INTELLIGENT SYSTEMS,COMP,6741,Deep Learning
