dbpediaURI,topicName,courseURI,courseName,occurrences,lectureNumbers
http://dbpedia.org/resource/Convolutional_neural_network,CNN,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,24,"Lecture 10, Lecture 7, Lecture 8, Lecture 6, Lecture 9"
http://dbpedia.org/resource/Convolutional_neural_network,CONVOLUTION,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,22,"Lecture 10, Lecture 6, Lecture 7"
http://dbpedia.org/resource/Convolutional_neural_network,CONVOLUTIONAL NETWORK,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,4,"Lecture 7, Lecture 6"
http://dbpedia.org/resource/Convolutional_neural_network,CONVOLUTIONAL NEURAL NETWORK,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,2,"Lecture 6, Lecture 7"
http://dbpedia.org/resource/Convolutional_neural_network,MAX POOLING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,1,Lecture 7
