courseURI,courseName,resourceURI,ResourceName,topicName,dbpURI
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,VECTOR,http://dbpedia.org/resource/Array_data_structure
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,AM,http://dbpedia.org/resource/Amplitude_modulation
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,FEATURE EXTRACTION,http://dbpedia.org/resource/Feature_extraction
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,JAVA,http://dbpedia.org/resource/Java_virtual_machine
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,CLOUD,http://dbpedia.org/resource/Cloud_computing
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,NEWSGROUP,http://dbpedia.org/resource/Usenet_newsgroup
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,AMAZON,http://dbpedia.org/resource/Amazon_rainforest
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,CENTROID,http://dbpedia.org/resource/Centroid
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,ECOSYSTEM,http://dbpedia.org/resource/Ecosystem
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,DOG,http://dbpedia.org/resource/Dog
