courseURI,courseName,courseSubject,courseNumber,type,credits
file:///Users/jatin/workspace/roboprof/data#3316442633,INTELLIGENT SYSTEMS,COMP,6741,Lecture,4.00
file:///Users/jatin/workspace/roboprof/data#6347304606,INTELLIGENT SYSTEMS,COMP,6741,Laboratory,4.00
